product,unit,case_size,unit_price_gbp,organic,available_from
Carrots (Nantes),kg,10,1.15,yes,2026-07-01
Potatoes (Charlotte),kg,25,0.92,yes,2026-06-15
Onions (brown),kg,10,1.05,yes,2026-07-01
Leeks,kg,5,2.40,yes,2026-09-01
Kale (curly),bunch,12,1.30,yes,2026-08-15
Tomatoes (vine),kg,5,3.10,no,2026-07-15
Cucumbers,each,12,0.78,no,2026-07-01
Courgettes,kg,5,2.05,yes,2026-07-15
Apples (Discovery),kg,10,1.85,yes,2026-08-20
Pears (Conference),kg,10,2.20,yes,2026-09-10
Rolled oats,kg,20,1.42,yes,2026-07-01
Red lentils,kg,20,2.15,yes,2026-07-01
Chickpeas (dried),kg,20,2.35,yes,2026-07-01
Wholemeal flour,kg,16,1.28,yes,2026-07-01
Sunflower oil,litre,12,2.90,no,2026-07-01
Free-range eggs,dozen,12,3.45,no,2026-07-01
Cheddar (mature),kg,2,9.80,no,2026-07-01
Natural yoghurt,litre,6,2.65,no,2026-07-01
